Date;Prix
2015-05-15;2122.7
2015-05-22;2126.0
2015-05-29;2107.3
2015-05-06;2092.8
2015-12-06;2094.1
2015-06-19;2109.9
2015-06-26;2101.4
2015-03-07;2076.7
2015-10-07;2076.6
2015-07-17;2126.6
2015-07-24;2079.6
2015-07-31;2103.8
2015-07-08;2077.5
2015-08-14;2091.5
2015-08-21;1970.8
2015-08-28;1988.8
2015-04-09;1921.2
2015-11-09;1961.0
2015-09-18;1958.0
2015-09-25;1931.3
2015-02-10;1951.3
2015-09-10;2014.8
2015-10-16;2033.1
2015-10-23;2075.1
2015-10-30;2079.3
2015-06-11;2099.2
2015-11-13;2023.0
2015-11-20;2089.1
2015-11-27;2090.1
2015-04-12;2091.6
2015-11-12;2012.3
2015-12-18;2005.5
2015-12-25;2060.9
2016-01-01;2043.9
2016-08-01;1922.0
2016-01-15;1880.3
2016-01-22;1906.9
2016-01-29;1940.2
2016-05-02;1880.0
2016-12-02;1864.7
2016-02-19;1917.7
2016-02-26;1948.0
2016-04-03;1999.9
2016-11-03;2022.1
2016-03-18;2049.5
2016-03-25;2035.9
2016-01-04;2072.7
2016-08-04;2047.6
2016-04-15;2080.7
2016-04-22;2091.5
2016-04-29;2065.3
2016-06-05;2057.1
2016-05-13;2046.6
2016-05-20;2052.3
2016-05-27;2099.0
2016-03-06;2099.1
2016-10-06;2096.0
2016-06-17;2071.2
2016-06-24;2037.4
2016-01-07;2102.9
2016-08-07;2129.9
2016-07-15;2161.7
2016-07-22;2175.0
2016-07-29;2173.6
2016-05-08;2182.8
2016-12-08;2184.0
2016-08-19;2183.8
2016-08-26;2169.0
2016-02-09;2179.9
2016-09-09;2127.8
2016-09-16;2139.1
2016-09-23;2164.6
2016-09-30;2168.2
2016-07-10;2153.7
2016-10-14;2132.9
2016-10-21;2141.1
2016-10-28;2126.4
2016-04-11;2085.1
2016-11-11;2164.4
2016-11-18;2181.9
2016-11-25;2213.3
2016-02-12;2191.9
2016-09-12;2259.5
2016-12-16;2258.0
2016-12-23;2263.7
2016-12-30;2238.8
2017-06-01;2276.9
2017-01-13;2274.6
2017-01-20;2271.3
2017-01-27;2294.6
2017-03-02;2297.4
2017-10-02;2316.1
2017-02-17;2351.1
2017-02-24;2367.3
2017-03-03;2383.1
2017-10-03;2372.6
2017-03-17;2378.2
2017-03-24;2343.9
2017-03-31;2362.7
2017-07-04;2355.5
2017-04-14;2328.9
2017-04-21;2348.6
2017-04-28;2384.2
